"Symbol","Data","Cap","Float"
"RSF","Y",NA,NA
"RSG","Y",33350,317.65
"RVI","Y",400.3,14.41
"RVLV","Y",3560,25.54
"RVT","Y",1900,NA
"RWT","Y",1150,110.87
"RXN","Y",5840,119.27
"RY","Y",133090,1420
"RYAM","Y",614.99,60.54
"RYB","Y",72.75,13.69
"RYI","Y",565.27,16.08
"RYN","Y",4940,135.61
"RY","Y",133090,1420
"RZA","Y",NA,NA
"RZB","Y",NA,NA
"SA","Y",1300,58.03
"SAF","Y",NA,NA
"SAFE","Y",3610,17.42
"SAH","Y",2080,21.98
"SAIC","Y",5110,57.84
"SAIL","Y",4420,87.93
"SALT","Y",NA,NA
"SAM","Y",15770,9.16
"SAN","Y",61290,17120
"SAP","Y",170510,1110
"SAR","Y",278.81,7.94
"SAVE","Y",3560,97.44
"SB","Y",265.75,46.39
"SBE","Y",NA,NA
"SBH","Y",2250,111.41
"SBI","Y",133.22,NA
"SBOW","Y",98.29,10.9
"SBR","Y",475.86,13.93
"SBS","Y",5070,340
"SB","Y",265.75,46.39
"SC","Y",9410,60.18
"SCA","Y",NA,NA
"SCCO","Y",56600,84.04
"SCD","Y",237.45,NA
"SCHW","Y",125650,1580
"SCI","Y",8660,168.02
"SCL","Y",2850,21.54
"SCM","Y",265.98,NA
"SCPE","Y",230.62,17.25
"SCS","Y",1650,75.18
"SCU","Y",1210,17.11
"SCX","Y",44.53,6.11
"SD","Y",136.6,35.47
"SE","Y",126130,78.55
"SEAS","Y",3870,49.9
"SEE","Y",7290,150.34
"SEM","Y",4730,109.45
"SF","Y",7120,99.71
"SFB","Y",NA,NA
"SFE","Y",136.46,19.07
"SFL","Y",973.54,93.9
"SFTW","Y",393.32,26.43
"SFUN","Y",112,4.57
"SF","Y",7120,99.71
"SGU","Y",472.62,35.67
"SHAK","Y",4710,33.27
"SHG","Y",17170,429.13
"SHI","Y",5050,107.89
"SHLX","Y",5680,123.71
"SHO","Y",2680,212.29
"SHOP","Y",141820,110.79
"SHO","Y",2680,212.29
"SHW","Y",68480,82.08
"SI","Y",3070,16.73
"SID","Y",11580,649.81
"SIG","Y",3190,50.84
"SITC","Y",2980,153.32
"SITE","Y",7670,43.76
"SIX","Y",4010,76.56
"SJI","Y",2450,100.08
"SJM","Y",14380,109.18
"SJR","Y",13650,464.57
"SJT","Y",198.99,46.61
"SJW","Y",1940,26.09
"SKM","Y",21620,536.96
"SKT","Y",1710,91.02
"SKX","Y",6870,133.96
"SKY","Y",2500,51.78
"SLB","Y",37620,1390
"SLCA","Y",901.22,71.97
"SLF","Y",30320,584.89
"SLG","Y",4920,69.05
"SM","Y",2100,107.69
"SMAR","Y",7690,111.41
"SMFG","Y",48990,6840
"SMG","Y",12790,40.72
"SMHI","Y",NA,NA
"SMLP","Y",136.45,4.9
"SMM","Y",90.74,NA
"SMP","Y",967.45,21.07
"SNA","Y",12660,53.41
"SNAP","Y",95090,1090
"SNDR","Y",4510,50.34
"SNE","Y",NA,NA
"SNN","Y",16980,437.44
"SNP","Y",78000,357.49
"SNR","Y",554.07,81.41
"SNV","Y",6750,145.72
"SNX","Y",6390,41.3
"SO","Y",68240,1050
"SOGO","Y",3280,83.97
"SOI","Y",523.98,25.06
"SOJB","Y",NA,NA
"SOJC","Y",NA,NA
"SOL","Y",601.57,25.98
"SON","Y",6470,99.87
"SOR","Y",373.7,NA
"SPB","Y",3830,41.18
"SPCE","Y",5250,140.66
"SPE","Y",129.21,NA
"SPG","Y",37420,325.65
"SPGI","Y",89960,240.28
"SPG","Y",37420,325.65
"SPH","Y",928.52,61.3
"SPLP","Y",422.22,18.83
"SPOT","Y",54740,133.03
"SPR","Y",4890,103.58
"SPXC","Y",2720,44.15
"SPXX","Y",297.25,NA
"SQ","Y",114570,378.52
"SQM","Y",14750,136.24
"SQNS","Y",209.76,27.39
"SR","Y",4020,50.11
"SRC","Y",5120,108.14
"SRE","Y",41690,288.16
"SRG","Y",731.38,36.03
"SRI","Y",858.62,25.64
"SRL","Y",105.18,6.03
"SRLP","Y",547.46,9.59
"SRT","Y",330.87,11.81
"SRV","Y",54.58,NA
"SR","Y",4020,50.11
"SSD","Y",4610,43.08
"SSL","Y",10310,537.04
"SSTK","Y",3620,22.58
"ST","Y",9140,156.63
"STAG","Y",5670,158.12
"STAR","Y",1470,70.88
"STC","Y",1520,26.29
"STE","Y",17690,84.9
"STG","Y",46.43,43.03
"STK","Y",523.65,NA
"STL","Y",4680,191.05
"STM","Y",35050,625.51
"STN","Y",5240,110.99
"STNG","Y",1070,46.2
"STON","Y",198.39,106.66
"STOR","Y",9350,260.18
"STT","Y",30320,348.51
"STWD","Y",7210,274
"STZ","Y",44830,154
"SU","Y",32150,1530
"SUI","Y",17710,100.97
"SUM","Y",3410,114.32
"SUN","Y",2780,54.09
"SUP","Y",127.3,23.4
"SUPV","Y",209.92,66.65
"SUZ","Y",17510,736.62
"SWCH","Y",4280,88.33
"SWI","Y",5630,68.99
"SWK","Y",33030,160.51
"SWM","Y",1510,30.74
"SWN","Y",2890,668.43
"SWX","Y",4110,56.42
"SWZ","Y",121.83,NA
"SXC","Y",552.7,82.13
"SXI","Y",1170,12.05
"SXT","Y",3390,42.01
"SYF","Y",23620,579.29
"SYK","Y",96510,348.25
"SYX","Y",1680,15.71
"SYY","Y",41390,509.69
"SZC","Y",111.17,NA
"T","Y",212450,7120
"TAC","Y",2620,269.28
"TAK","Y",53470,3130
"TAL","Y",35080,376.88
"TALO","Y",975.6,46.29
"TAP","Y",11610,180.16
"TARO","Y",2860,8.76
"TBB","Y",NA,NA
"TBC","Y",NA,NA
"TBI","Y",810.57,34.79
"TCI","Y",177.53,1.03
"TCP","Y",NA,NA
"TCS","Y",742.83,28.88
"TD","Y",118790,1800
"TDA","Y",NA,NA
"TDC","Y",4210,106.92
"TDE","Y",NA,NA
"TDF","Y",762.28,NA
"TDG","Y",33480,51.4
"TDI","Y",NA,NA
"TDJ","Y",NA,NA
"TDOC","Y",28740,150.95
"TDS","Y",2550,92.77
"TDW","Y",493.22,39.69
"TDY","Y",15820,36.39
"TEAF","Y",200.21,NA
"TECK","Y",12010,523.82
"TEF","Y",24510,4990
"TEI","Y",362.87,NA
"TEL","Y",42880,330.23
"TEN","Y",874.56,61.71
"TEO","Y",1020,89.83
"TEVA","Y",11370,1090
"TEX","Y",3160,66.56
"TFC","Y",76340,1340
"TFX","Y",20100,46.4
"TG","Y",497.85,25.82
"TGH","Y",1450,46.01
"TGI","Y",951.58,54.37
"TGNA","Y",4510,218.29
"TGP","Y",1300,50.99
"TGS","Y",546.58,148.12
"TGT","Y",102650,497.37
"THC","Y",5470,103.55
"THG","Y",4950,36.04
"THO","Y",7650,52.99
"THQ","Y",944.63,NA
"THR","Y",657.58,32.56
"THS","Y",2840,55.4
"THW","Y",576.61,NA
"TISI","Y",322.49,29.6
"TJX","Y",82320,1200
"TK","Y",328.76,69.17
"TKC","Y",4080,430.78
"TKR","Y",6240,65.93
"TLK","Y",22480,980.72
"TLYS","Y",360.43,22.04
"TM","Y",254690,1250
"TME","Y",30090,589.18
"TMHC","Y",4030,125.46
"TMO","Y",192220,392.21
"TMST","Y",525.44,35.97
"TNC","Y",1490,18.15
"TNET","Y",5450,61.37
"TNK","Y",437.18,24.11
"TNP","Y",175.54,12.34
"TOL","Y",7260,111.65
"TOT","Y",121180,2420
"TPB","Y",892.25,18.2
"TPC","Y",859.19,40.56
"TPH","Y",2650,118.01
"TPL","Y",11950,7.74
"TPR","Y",12480,277.14
"TPRE","Y",NA,NA
"TPVG","Y",479.54,30.46
"TPVY","Y",NA,NA
"TPX","Y",7780,198.58
"TPZ","Y",83.71,NA
"TR","Y",2090,34.52
"TRC","Y",421.59,24.4
"TREC","Y",196.52,21.41
"TREX","Y",11900,115.17
"TRGP","Y",7530,225.3
"TRI","Y",45340,171.27
"TRN","Y",3170,109.99
"TRNO","Y",4330,67.19
"TROX","Y",3050,97.57
"TRP","Y",46820,933.9
"TRQ","Y",3810,99.03
"TRTN","Y",3900,66.02
"TRTX","Y",874,59.75
"TRU","Y",18360,189.53
"TRV","Y",38430,250.6
"TS","Y",13070,233
"TSE","Y",2480,37.4
"TSI","Y",269.3,NA
"TSLX","Y",1610,NA
"TSM","Y",548020,4860
"TSN","Y",28420,286.84
"TSQ","Y",151.91,9.71
"TTC","Y",11660,106.54
"TTI","Y",319.42,120.43
"TTM","Y",14400,412.45
"TTP","Y",48.31,NA
"TU","Y",25920,1260
"TUFN","Y",362.58,26.73
"TUP","Y",1370,47.49
"TV","Y",7130,432.22
"TVC","Y",NA,NA
"TVE","Y",NA,NA
"TWI","Y",609.75,57.8
"TWLO","Y",63400,139.4
"TWN","Y",222.65,NA
"TWO","Y",1980,271.45
"TWTR","Y",55490,777.25
"TX","Y",7660,48.99
"TXT","Y",13260,224.14
"TY","Y",1770,NA
"TYG","Y",336.69,NA
"TYL","Y",18210,39.79
"TY","Y",1770,NA
"T","Y",212450,7120
"UA","Y",8160,355.26
"UAA","Y",9010,382.08
"UAN","Y",477.42,7.18
"UBA","Y",674.7,31.76
"UBER","Y",108730,1630
"UBP","Y",NA,NA
"UBS","Y",60160,3540
"UDR","Y",13350,291.79
"UE","Y",2130,109.88
"UFI","Y",516.78,16.38
"UFS","Y",1870,50.17
"UGI","Y",9100,207.07
"UGP","Y",4220,746.77
"UHS","Y",12000,75.53
"UHT","Y",953.67,12.71
"UI","Y",17130,6.52
"UIS","Y",1690,61.46
"UL","Y",151110,2580
"UMC","Y",23170,2290
"UMH","Y",842.42,38.15
"UNF","Y",4340,15.05
"UNFI","Y",1920,55.09
"UNH","Y",367580,943.06
"UNM","Y",5890,202.13
"UNMA","Y",NA,NA
"UNP","Y",149250,664.98
"UNVR","Y",3860,166.56
"UPS","Y",154750,717.53
"URI","Y",23280,71.86
"USA","Y",1870,NA
"USAC","Y",1510,49.6
"USB","Y",84440,1500
"USDP","Y",158.62,8.24
"USFD","Y",8580,207.83
"USM","Y",3160,14.99
"USNA","Y",2220,12.51
"USPH","Y",1360,12.6
"USX","Y",549.93,22.51
"UTF","Y",2720,NA
"UTI","Y",199.71,28.91
"UTL","Y",741.07,14.74
"UVE","Y",439.02,28.22
"UVV","Y",1400,23.94
"UZA","Y",NA,NA
"UZB","Y",NA,NA
"UZC","Y",NA,NA
"V","Y",482300,1820
"VAC","Y",7090,40.39
"VALE","Y",101300,4790
"VAPO","Y",570.39,22.04
"VAR","Y",16260,91.56
"VBF","Y",219.88,NA
"VCIF","Y",107.85,NA
"VCRA","Y",1230,31.88
"VCV","Y",627.99,NA
"VEC","Y",604.81,11.36
"VEDL","Y",10860,319.83
"VEEV","Y",41570,135.63
"VER","Y",9410,217.74
"VET","Y",1090,154.05
"VFC","Y",32610,362.86
"VGI","Y",137.05,NA
"VGM","Y",749.94,NA
"VGR","Y",2190,127.12
"VHI","Y",682.72,2.39
"VICI","Y",18600,535.74
"VIPS","Y",19160,545.08
"VIST","Y",234.56,59.85
"VIV","Y",13340,412.82
"VKQ","Y",737.42,NA
"VLO","Y",28520,406.31
"VLRS","Y",1650,97.93
"VLT","Y",90.86,NA
"VMC","Y",23320,131.76
"VMI","Y",4900,20.74
"VMO","Y",906.72,NA
"VMW","Y",69500,80.45
"VNCE","Y",133.84,3.03
"VNE","Y",2840,111.18
"VNO","Y",8680,175.49
"VNTR","Y",520.86,54.05
"VOYA","Y",8250,120.59
"VPG","Y",417.62,13.31
"VPV","Y",312.64,NA
"VRS","Y",532.89,27.63
"VRTV","Y",697.23,13.96
"VSH","Y",3760,143.87
"VST","Y",8660,479.9
"VSTO","Y",1990,57.16
"VTA","Y",727.42,NA
"VTN","Y",256.91,NA
"VTR","Y",20640,372.79
"VVI","Y",827.83,20.07
"VVR","Y",647.32,NA
"VVV","Y",5100,180.71
"VZ","Y",239220,4140
"W","Y",32650,68.77
"WAB","Y",15390,180.09
"WAL","Y",9790,97.36
"WALA","Y",NA,NA
"WAT","Y",18530,61.68
"WBAI","Y",808.83,20.01
"WBK","Y",71740,3490
"WBS","Y",4800,89.32
"WBT","Y",2190,140.82
"WCC","Y",4200,37.09
"WCN","Y",30270,262.35
"WD","Y",3340,28.74
"WDR","Y",1550,60.22
"WEA","Y",165.37,NA
"WEC","Y",30230,314.85
"WEI","Y",80.45,35.39
"WELL","Y",31480,416.7
"WES","Y",8010,201
"WEX","Y",9960,43.27
"WF","Y",6610,96.97
"WFC","Y",174790,4120
"WGO","Y",2600,32.29
"WH","Y",6850,91.4
"WHD","Y",2200,47.36
"WHG","Y",139.19,7.48
"WHR","Y",14520,62.69
"WIA","Y",304.36,NA
"WIT","Y",31330,1410
"WIW","Y",767.25,NA
"WK","Y",4780,36.12
"WLK","Y",12140,33.41
"WLKP","Y",915.01,20.64
"WLL","Y",1460,38.01
"WM","Y",56510,421.78
"WMB","Y",29050,1210
"WMC","Y",184.89,60.31
"WMK","Y",1440,16.3
"WMS","Y",7820,56.17
"WMT","Y",392310,58.45
"WNC","Y",968.61,51.15
"WNS","Y",3640,25.35
"WOR","Y",3480,32.93
"WORK","Y",24490,495.28
"WOW","Y",1150,51.48
"WPC","Y",12930,173.5
"WPG","Y",52.97,20.59
"WPM","Y",18980,448.2
"WPP","Y",16230,NA
"WRB","Y",14230,135.59
"WRE","Y",1930,81.42
"WRI","Y",3960,119.04
"WRK","Y",14010,260
"WSM","Y",12710,75.79
"WSO","Y",10740,33.35
"WSR","Y",412.89,39.35
"WST","Y",23180,73.49
"WTI","Y",471.13,92.2
"WTM","Y",3660,3.02
"WTS","Y",4030,27.1
"WTTR","Y",519.51,58.72
"WU","Y",10680,409.06
"WWE","Y",4360,44.82
"WWW","Y",3180,79.9
"WY","Y",28510,744.88
"WYND","Y",NA,NA
"X","Y",6000,260.81
"XAN","Y",NA,NA
"XEC","Y",6550,99.83
"XFLT","Y",155.71,NA
"XHR","Y",2110,112.58
"XIN","Y",158.3,29.94
"XOM","Y",240460,4220
"XPO","Y",15000,83.95
"XRX","Y",4810,187.86
"XYF","Y",191.38,6.75
"XYL","Y",19380,178.37
"Y","Y",9390,13.67
"YELP","Y",3000,70.79
"YETI","Y",7230,78.27
"YEXT","Y",1800,109.42
"YPF","Y",2460,173.18
"YRD","Y",335.07,10.3
"YUM","Y",35010,297
"YUMC","Y",24900,418.29
"ZBH","Y",35920,207.09
"ZEN","Y",17610,116.01
"ZNH","Y",14520,30.82
"ZTO","Y",25720,642.97
"ZTR","Y",454.81,NA
"ZTS","Y",78810,474.33
"ZUO","Y",2050,107.22
