"Symbol","Data","Cap","Float"
"CCX","Y",864.2,68.67
"CCZ","Y",NA,NA
"CDAY","Y",13680,145.07
"CDE","Y",2380,240.38
"CDR","Y",210.55,11.62
"CE","Y",17790,113.28
"CEA","Y",11920,193.13
"CEE","Y",163.16,NA
"CEIX","Y",339.72,30.01
"CEL","Y",NA,NA
"CELP","Y",25.42,4.35
"CEM","Y",340.1,NA
"CEN","Y",57.68,NA
"CEO","Y",NA,NA
"CEPU","Y",328.54,95.68
"CEQP","Y",2080,50.54
"CF","Y",10070,212.76
"CFG","Y",18900,423.14
"CFR","Y",7140,56.25
"CFX","Y",6020,100.51
"CGA","Y",88.4,4.4
"CHCT","Y",1190,21.93
"CHD","Y",21330,24.78
"CHE","Y",7510,15.53
"CHGG","Y",12600,126.88
"CHH","Y",6130,34.04
"CHMI","Y",161.07,16.91
"CHN","Y",303.17,NA
"CHRA","Y",173.54,11.73
"CHS","Y",369.56,111.3
"CHT","Y",31220,455.54
"CHWY","Y",33750,72.36
"CI","Y",88330,346.76
"CIA","Y",284.78,47.91
"CIB","Y",7990,159.84
"CIEN","Y",8450,153.39
"CIF","Y",51.63,NA
"CIG","Y",3740,1170
"CII","Y",890.81,NA
"CIM","Y",2910,229.17
"CINR","Y",255.18,5.12
"CIO","Y",481.32,41.77
"CIR","Y",661.13,19.76
"CIT","Y",5200,95.76
"CKH","Y",850.69,18.34
"CL","Y",68000,841.39
"CLB","Y",1270,44.05
"CLDR","Y",3670,288.31
"CLDT","Y",622.11,45.82
"CLF","Y",8670,414.15
"CLGX","Y",5870,72.07
"CLH","Y",4820,51.15
"CLI","Y",1460,78.22
"CLNC","Y",1090,126.91
"CLNY","Y",3300,463.76
"CLPR","Y",131.3,15.31
"CLR","Y",9950,63.22
"CLS","Y",1060,108.78
"CLW","Y",566.3,16.07
"CLX","Y",24030,125.58
"CM","Y",43970,442.5
"CMA","Y",9630,137.81
"CMC","Y",3530,118.44
"CMCM","Y",291.8,36.38
"CMD","Y",3660,33.38
"CMG","Y",43900,27.74
"CMI","Y",38170,145.98
"CMO","Y",614.06,94.11
"CMP","Y",2240,33.68
"CMRE","Y",1180,51.05
"CMS","Y",18360,287.21
"CMSA","Y",NA,NA
"CMSC","Y",NA,NA
"CMSD","Y",NA,NA
"CMS","Y",18360,287.21
"CMU","Y",130.3,NA
"CNA","Y",12600,270.84
"CNC","Y",37600,570.41
"CNF","Y",254.47,56.38
"CNHI","Y",20460,992.25
"CNI","Y",83060,709.41
"CNK","Y",2680,98.2
"CNNE","Y",3830,86.17
"CNO","Y",3410,133.53
"CNP","Y",13110,543.19
"CNQ","Y",36530,1160
"CNR","Y",1760,47.71
"CNS","Y",3220,24.02
"CNX","Y",3100,214.05
"CO","Y",585.8,34.73
"CODI","Y",1590,54.78
"COE","Y",446.52,8.49
"COF","Y",61300,453.38
"COG","Y",6710,389.07
"COLD","Y",9880,204.05
"COO","Y",19650,48.86
"COP","Y",69900,1070
"COR","Y",5400,42.22
"CORR","Y",87.74,13.59
"COTY","Y",7070,288.86
"CP","Y",48710,122.09
"CPA","Y",3390,31.39
"CPAC","Y",684.78,50.43
"CPB","Y",14890,195.28
"CPE","Y",1700,38.65
"CPF","Y",765.15,27.2
"CPG","Y",2020,529.03
"CPK","Y",2080,16.95
"CPLG","Y",556.3,38.34
"CPRI","Y",7850,148.17
"CPS","Y",567.86,16.61
"CPT","Y",11610,95.42
"CR","Y",5450,49.32
"CRC","Y",2040,40.01
"CRH","Y",37590,776.2
"CRI","Y",4280,42.62
"CRK","Y",1160,71.49
"CRL","Y",16150,48.98
"CRM","Y",213290,882.79
"CRS","Y",1970,47.14
"CRT","Y",53.01,6
"CRY","Y",877.91,37.5
"CS","Y",25650,2420
"CSL","Y",9150,52.12
"CSLT","Y",247.29,111.98
"CSTM","Y",2080,136.34
"CSU","Y",85.42,1.18
