"Symbol","Security.Name","Data","Cap","Float"
"AMEH","Apollo Medical Holdings, Inc. - Common Stock","Y",1470,28.57
"AMGN","Amgen Inc. - Common Stock","Y",147050,576.49
"AMHC","Amplitude Healthcare Acquisition Corporation - Class A Common Stock","Y",NA,NA
"AMKR","Amkor Technology, Inc. - Common Stock","Y",5730,92.82
"AMNB","American National Bankshares, Inc. - Common Stock","Y",353.82,10.33
"AMOT","Allied Motion Technologies, Inc. - Common Stock","Y",491.27,7.64
"AMPH","Amphastar Pharmaceuticals, Inc. - Common Stock","Y",827.46,36.38
"AMRB","American River Bankshares - Common Stock","Y",117.21,5.22
"AMRH","Ameri Holdings, Inc. - Common Stock","Y",NA,NA
"AMRK","A-Mark Precious Metals, Inc. - Common Stock","Y",351.26,4.79
"AMRN","Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share","Y",1980,381.31
"AMRS","Amyris, Inc. - Common Stock","Y",4110,154.2
"AMSC","American Superconductor Corporation - Common Stock","Y",451.19,24.76
"AMSF","AMERISAFE, Inc. - Common Stock","Y",1250,18.99
"AMST","Amesite Inc. - Common Stock","Y",66.18,9.16
"AMSWA","American Software, Inc. - Class A Common Stock","Y",660.01,23.46
"AMTB","Amerant Bancorp Inc. - Class A Common Stock","Y",684.29,22.79
"AMTBB","Amerant Bancorp Inc. - Class B Common Stock","Y",NA,NA
"AMTI","Applied Molecular Transport Inc. - common stock","Y",1450,24.54
"AMTX","Aemetis, Inc - Common Stock","Y",540.91,19.62
"AMWD","American Woodmark Corporation - Common Stock","Y",1730,16.8
"AMYT","Amryt Pharma plc - American Depositary Shares","Y",491.7,7.47
"AMZN","Amazon.com, Inc. - Common Stock","Y",1687860,432.19
"ANAB","AnaptysBio, Inc. - Common Stock","Y",604.87,25.6
"ANAT","American National Group, Inc. - Common Stock","Y",3040,20.56
"ANCN","Anchiano Therapeutics Ltd. - American Depositary Shares","Y",NA,NA
"ANDA","Andina Acquisition Corp. III - Ordinary Shares","Y",45.48,2.19
"ANDE","The Andersons, Inc. - Common Stock","Y",925.15,30.79
"ANGI","ANGI Homeservices Inc. - Class A Common Stock","Y",8500,77.08
"ANGO","AngioDynamics, Inc. - Common Stock","Y",911.97,36.75
"ANIK","Anika Therapeutics Inc. - Common Stock","Y",582.22,13.99
"ANIP","ANI Pharmaceuticals, Inc. - Common Stock","Y",427.76,9.54
"ANIX","Anixa Biosciences, Inc. - Common Stock","Y",133.53,23.35
"ANNX","Annexon, Inc. - common stock","Y",839.06,36.05
"ANPC","AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares","Y",63.45,1.33
"ANSS","ANSYS, Inc. - Common Stock","Y",31820,85.06
"ANTE","AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares","Y",36.58,NA
"ANY","Sphere 3D Corp. - Common Shares","Y",24.87,5.46
"AOSL","Alpha and Omega Semiconductor Limited - Common Shares","Y",782.03,20.57
"AOUT","American Outdoor Brands, Inc. - Common Stock","Y",370.6,13.9
"APA","Apache Corporation - Common Stock","Y",6940,376.37
"APDN","Applied DNA Sciences, Inc. - Common Stock","Y",45.76,6.12
"APEI","American Public Education, Inc. - Common Stock","Y",616.86,14.2
"APEN","Apollo Endosurgery, Inc. - Common Stock","Y",162.19,18.68
"APEX","Apex Global Brands Inc. - Common Stock","Y",NA,NA
"APHA","Aphria Inc. - Common Shares","Y",4570,312.68
"API","Agora, Inc. - ADS","Y",6390,17.5
"APLS","Apellis Pharmaceuticals, Inc. - Common Stock","Y",3630,62.92
"APLT","Applied Therapeutics, Inc. - Common Stock","Y",438.23,20.12
"APM","Aptorum Group Limited - Class A Ordinary Shares","Y",85.71,8.56
"APOG","Apogee Enterprises, Inc. - Common Stock","Y",926.02,25.13
"APOP","Cellect Biotechnology Ltd. - American Depositary Shares","Y",8.95,3.57
"APPF","AppFolio, Inc. - Class A Common Stock","Y",5010,17.47
